30
(-91.85, -91.07, 0.00)
(-22.19, -135.85, 0.00)
(48.47, -177.18, 0.00)
(104.55, -149.91, 0.00)
(167.81, -171.44, 0.00)
(226.38, -121.12, 0.00)
(179.37, 30.91, 0.00)
(137.37, 51.90, 0.00)
(117.81, 3.36, 0.00)
(141.92, -57.39, 0.00)
(101.24, -94.77, 0.00)
(61.02, -93.38, 0.00)
(46.23, -20.34, 0.00)
(49.93, 36.06, 0.00)
(86.91, 85.52, 0.00)
(122.04, 135.91, 0.00)
(101.24, 183.07, 0.00)
(51.31, 180.29, 0.00)
(8.32, 98.47, 0.00)
(-2.77, 60.56, 0.00)
(-6.47, 1.39, 0.00)
(-23.58, -38.83, 0.00)
(-64.26, -33.75, 0.00)
(-92.00, -0.46, 0.00)
(-82.75, 81.83, 0.00)
(-122.04, 97.08, 0.00)
(-210.34, 42.99, 0.00)
(-226.98, 6.01, 0.00)
(-174.28, -37.91, 0.00)
(-127.13, -67.96, 0.00)
